SimulationTime,runNumber,CarID,count,rate
120,7,0,8,0.2
160,7,0,4,0.1
200,7,0,4,0.1
240,7,0,7,0.175
280,7,0,4,0.1
320,7,0,6,0.15
360,7,0,4,0.1
400,7,0,5,0.125
440,7,0,6,0.15
480,7,0,4,0.1
520,7,0,8,0.2
560,7,0,4,0.1
600,7,0,7,0.175
640,7,0,1,0.025
680,7,0,5,0.125
720,7,0,7,0.175
760,7,0,3,0.075
800,7,0,1,0.025
840,7,0,4,0.1
880,7,0,6,0.15
920,7,0,3,0.075
960,7,0,4,0.1
1000,7,0,6,0.15
1040,7,0,7,0.175
1080,7,0,5,0.125
1120,7,0,6,0.15
1160,7,0,8,0.2
1200,7,0,3,0.075
1240,7,0,4,0.1
1280,7,0,4,0.1
1320,7,0,8,0.2
1360,7,0,5,0.125
1400,7,0,5,0.125
1440,7,0,5,0.125
1480,7,0,4,0.1
1520,7,0,5,0.125
1560,7,0,3,0.075
1600,7,0,3,0.075
1640,7,0,5,0.125
1680,7,0,3,0.075
1720,7,0,6,0.15
1760,7,0,3,0.075
1800,7,0,8,0.2
1840,7,0,5,0.125
1880,7,0,4,0.1
1920,7,0,0,0
1960,7,0,2,0.05
2000,7,0,6,0.15
2040,7,0,7,0.175
2080,7,0,4,0.1
2120,7,0,2,0.05
2160,7,0,5,0.125
2200,7,0,6,0.15
2240,7,0,0,0
2280,7,0,8,0.2
2320,7,0,5,0.125
2360,7,0,3,0.075
2400,7,0,5,0.125
2440,7,0,8,0.2
2480,7,0,4,0.1
2520,7,0,7,0.175
2560,7,0,4,0.1
2600,7,0,6,0.15
2640,7,0,3,0.075
2680,7,0,5,0.125
2720,7,0,4,0.1
2760,7,0,6,0.15
2800,7,0,1,0.025
2840,7,0,3,0.075
2880,7,0,3,0.075
2920,7,0,6,0.15
2960,7,0,4,0.1
3000,7,0,4,0.1
3040,7,0,5,0.125
3080,7,0,6,0.15
3120,7,0,3,0.075
3160,7,0,5,0.125
3200,7,0,3,0.075
3240,7,0,5,0.125
3280,7,0,5,0.125
3320,7,0,3,0.075
3360,7,0,6,0.15
3400,7,0,6,0.15
3440,7,0,5,0.125
3480,7,0,5,0.125
3520,7,0,7,0.175
3560,7,0,1,0.025
3600,7,0,6,0.15
3640,7,0,5,0.125
3680,7,0,5,0.125
3720,7,0,3,0.075
3760,7,0,6,0.15
3800,7,0,3,0.075
3840,7,0,4,0.1
3880,7,0,6,0.15
3920,7,0,2,0.05
3960,7,0,3,0.075
4000,7,0,4,0.1
4040,7,0,3,0.075
4080,7,0,6,0.15
4120,7,0,4,0.1
4160,7,0,7,0.175
4200,7,0,2,0.05
4240,7,0,6,0.15
4280,7,0,7,0.175
4320,7,0,3,0.075
4360,7,0,5,0.125
4400,7,0,3,0.075
4440,7,0,5,0.125
4480,7,0,6,0.15
4520,7,0,7,0.175
4560,7,0,6,0.15
4600,7,0,5,0.125
4640,7,0,7,0.175
4680,7,0,3,0.075
4720,7,0,1,0.025
4760,7,0,5,0.125
4800,7,0,3,0.075
4840,7,0,5,0.125
4880,7,0,5,0.125
4920,7,0,7,0.175
4960,7,0,6,0.15
5000,7,0,2,0.05
5040,7,0,3,0.075
5080,7,0,5,0.125
5120,7,0,7,0.175
5160,7,0,6,0.15
5200,7,0,3,0.075
5240,7,0,5,0.125
5280,7,0,7,0.175
5320,7,0,4,0.1
5360,7,0,6,0.15
5400,7,0,2,0.05
5440,7,0,5,0.125
5480,7,0,5,0.125
5520,7,0,3,0.075
5560,7,0,5,0.125
5600,7,0,7,0.175
5640,7,0,5,0.125
5680,7,0,7,0.175
5720,7,0,9,0.225
5760,7,0,6,0.15
5800,7,0,4,0.1
5840,7,0,7,0.175
5880,7,0,3,0.075
5920,7,0,6,0.15
5960,7,0,4,0.1
6000,7,0,8,0.2
6040,7,0,3,0.075
6080,7,0,6,0.15
6120,7,0,3,0.075
6160,7,0,6,0.15
6200,7,0,3,0.075
6240,7,0,6,0.15
6280,7,0,4,0.1
6320,7,0,5,0.125
6360,7,0,6,0.15
6400,7,0,2,0.05
6440,7,0,5,0.125
6480,7,0,7,0.175
6520,7,0,6,0.15
6560,7,0,6,0.15
6600,7,0,4,0.1
6640,7,0,3,0.075
6680,7,0,5,0.125
6720,7,0,4,0.1
6760,7,0,2,0.05
6800,7,0,4,0.1
6840,7,0,6,0.15
6880,7,0,4,0.1
6920,7,0,2,0.05
6960,7,0,6,0.15
7000,7,0,4,0.1
7040,7,0,3,0.075
7080,7,0,4,0.1
7120,7,0,3,0.075
7160,7,0,7,0.175
7200,7,0,4,0.1
7240,7,0,6,0.15
7280,7,0,5,0.125
7320,7,0,5,0.125
7360,7,0,1,0.025
7400,7,0,5,0.125
7440,7,0,1,0.025
7480,7,0,7,0.175
7520,7,0,7,0.175
7560,7,0,6,0.15
7600,7,0,4,0.1
7640,7,0,4,0.1
7680,7,0,3,0.075
7720,7,0,7,0.175
7760,7,0,7,0.175
7800,7,0,1,0.025
7840,7,0,2,0.05
7880,7,0,8,0.2
7920,7,0,9,0.225
7960,7,0,6,0.15
8000,7,0,3,0.075
8040,7,0,8,0.2
8080,7,0,4,0.1
8120,7,0,4,0.1
8160,7,0,4,0.1
8200,7,0,7,0.175
8240,7,0,6,0.15
8280,7,0,4,0.1
8320,7,0,8,0.2
8360,7,0,4,0.1
8400,7,0,3,0.075
8440,7,0,6,0.15
8480,7,0,8,0.2
8520,7,0,4,0.1
8560,7,0,4,0.1
8600,7,0,4,0.1
8640,7,0,3,0.075
8680,7,0,5,0.125
8720,7,0,8,0.2
8760,7,0,4,0.1
8800,7,0,6,0.15
8840,7,0,3,0.075
8880,7,0,3,0.075
8920,7,0,5,0.125
8960,7,0,2,0.05
9000,7,0,5,0.125
9040,7,0,7,0.175
9080,7,0,3,0.075
9120,7,0,6,0.15
9160,7,0,1,0.025
9200,7,0,7,0.175
9240,7,0,2,0.05
9280,7,0,7,0.175
9320,7,0,4,0.1
9360,7,0,7,0.175
9400,7,0,5,0.125
9440,7,0,5,0.125
9480,7,0,4,0.1
9520,7,0,5,0.125
9560,7,0,8,0.2
9600,7,0,5,0.125
9640,7,0,1,0.025
9680,7,0,7,0.175
9720,7,0,4,0.1
9760,7,0,2,0.05
9800,7,0,4,0.1
9840,7,0,7,0.175
9880,7,0,1,0.025
9920,7,0,5,0.125
9960,7,0,7,0.175
10000,7,0,6,0.15
120,7,1,5,0.125
160,7,1,5,0.125
200,7,1,2,0.05
240,7,1,8,0.2
280,7,1,3,0.075
320,7,1,8,0.2
360,7,1,2,0.05
400,7,1,7,0.175
440,7,1,4,0.1
